iter	Passed	Remaining
0	1	1579
1	3	1589
2	4	1515
3	5	1468
4	7	1441
5	8	1421
6	9	1349
7	10	1333
8	11	1314
9	13	1334
10	14	1333
11	15	1315
12	17	1320
13	18	1317
14	19	1302
15	21	1292
16	22	1288
17	23	1275
18	24	1260
19	25	1249
20	26	1251
21	27	1237
22	28	1222
23	29	1209
24	30	1194
25	31	1189
26	32	1180
27	33	1172
28	34	1153
29	35	1136
30	36	1129
31	37	1125
32	38	1119
33	39	1111
34	39	1099
35	40	1094
36	41	1077
37	41	1058
38	42	1057
39	43	1052
40	45	1062
41	45	1044
42	46	1032
43	47	1026
44	47	1015
45	48	1012
46	49	999
447	50	1004848	51	1049	52	993
50	53	990
51	54	988
52	552	55	53	553	56	54	554	57	55	555	58	56	556	59	57	60	977
58	61	977
59	659	62	60	660	63	61	661	64	62	65	971
63	66	970
64	67	972
65	68	972
66	69	969
67	70	968
68	71	968
69	72	967
70	73	960
71	74	958
72	772	75	73	76	958
74	77	958
75	78	955
76	79	953
77	80	952
78	81	952
79	82	951
80	83	949
81	84	945
82	882	85	83	883	86	84	884	87	85	88	943
86	90	944
87	91	943
88	92	942
89	93	941
90	94	939
91	95	938
92	96	938
93	96	932
94	97	931
95	98	932
96	100	931
97	101	930
98	102	930
99	99	102	9100100	103	9101101	104	9102102	106	9103103	107	9104104	108	9105105	109	9106106	110	9107107	111	9108108	112	9109109	113	9110110	114	9111111	115	915
112	115	9113113	116	9114114	117	9115115	118	9116116	119	9117117	120	8118118	121	8119119	122	8120120	122	8121121	123	8122	125	892
123	126	893
124124	127	8125125	128	8126126	129	8127127	130	8128128	131	8129129	132	8130	133	886
131	134	884
132	135	882
133	136	879
134134	137	8135135	138	8136136	139	8137137	140	8138138	141	8139139	142	8140140	143	8141141	144	8142	145	868
143	146	868
144	147	868
145	148	868
146	149	867
147	150	866
148	151	864
149	152	862
150	153	861
151	154	861
152	155	860
153	156	859
154154	157	8155155	158	8156156	159	8157157	160	8158158	161	8159159	162	8160160	163	8161161	164	8162162	165	8163163	166	8164164	167	8165165	168	8166166	169	8167167	170	8168168	171	8169169	172	8170	172	838
171171	174	8172172	175	8173173	176	8174174	177	8175175	177	8176	178	830
177177	179	8178178	180	8179	181	827
180180	182	8181	183	826
182182	185	8183183	186	8184184	187	8185185	188	8186186	189	8187187	190	8188	190	818
189189	191	8190190	192	8191191	193	8192192	194	8193193	195	8194194	197	8195195	198	8196196	199	8197197	200	8198	200	808
199199	202	8200200	203	8201201	203	8202202	204	8203203	205	8204204	207	8205205	208	8206206	209	8207207	210	8208208	211	7209209	212	7210210	213	7211211	214	7212212	215	7213213	216	7214214	217	7215215	218	7216216	219	7217	219	786
218	220	785
219	221	784
220220	222	7221221	223	7222222	224	7223223	225	7224	225	777
225225	227	7226226	228	7227227	229	7228228	230	7229229	231	7230230	232	7231231	233	7232232	234	7233233	235	7234234	236	7235235	237	7236236	239	7237237	240	7238238	241	7239239	242	767
240	243	766
241	244	765
242	245	7243243	246	7244244	247	7245245	248	7246246	249	7247247	250	758
248	251	7249249	252	7250250	253	7251251	254	7252252	255	7253253	256	7254254	257	7255255	258	7256256	259	7257257	260	7258258	261	7259259	262	7260260	263	7261261	264	7262262	265	743
263	266	7264264	267	7265265	268	741
266	269	740
267	270	7268268	271	7269269	272	7270270	273	737
271	275	736
272	276	7273273	277	734
274	278	733
275	279	732
276	280	732
277	281	731
278	282	730
279	283	729
280	284	728
281	285	727
282	286	726
283	287	725
284	288	723
285	289	722
286	290	721
287	291	720
288	292	719
289	293	718
290	294	717
291	295	715
292	296	714
293	297	713
294	298	712
295	298	7296296	300	7297297	301	7298298	302	7299299	303	707
300	304	707
301	305	7302302	306	7303303	307	7304304	308	7305305	309	7306306	310	7307307	311	7308308	312	6309309	313	6310310	314	6311311	315	6312312	316	6313313	317	6314314	318	6315315	319	6316316	320	6317317	322	6318318	322	6319319	323	6320320	324	6321321	325	686
322	326	685
323	328	684
324	329	683
325	330	682
326	331	6327327	332	6328328	333	6329329	334	6330330	334	6331331	335	6332332	336	6333333	337	6334334	338	6335335	339	6336336	341	6337337	342	6338338	342	6339339	343	6340340	344	6341341	345	6342342	346	6343343	348	6344344	349	6345345	350	661
346	351	661
347	352	6348348	353	658
349	354	657
350	355	6351351	356	6352352	357	655
353	359	655
354	360	654
355	361	653
356	362	652
357	363	651
358	364	650
359	365	649
360	366	648
361	367	647
362	368	646
363	368	644
364	369	643
365	370	642
366	371	641
367	372	640
368	373	639
369	374	638
370	375	637
371	377	636
372	378	635
373	379	634
374	380	633
375	381	632
376	382	632
377	383	631
378	384	630
379	385	629
380	387	628
381	387	627
382	388	626
383	389	625
384	390	624
385	391	623
386	392	621
387	393	620
388	394	620
389	395	618
390	396	617
391	397	616
392	398	616
393	399	614
394	400	613
395	401	613
396	403	612
397	404	611
398	405	610
399	405	608
400	406	607
401	408	606
402	409	605
403	409	604
404	410	603
405	411	602
406	412	601
407	413	600
408	414	599
409	415	598
410	416	597
411	417	596
412	418	595
413	419	594
414	420	593
415	421	592
416	422	5417417	423	5418418	424	5419419	425	5420420	426	5421421	427	5422422	428	5423423	429	5424424	430	5425425	431	5426426	432	5427427	433	5428428	434	5429429	435	5430430	436	5431431	437	575
432	438	574
433	439	5434434	440	5435435	441	5436436	442	5437437	443	5438438	445	5439439	446	567
440	447	566
441	448	5442442	449	5443443	450	563
444	451	5445445	452	5446446	453	5447447	454	560
448	455	5449449	456	557
450	457	5451451	458	556
452	459	555
453	460	5454454	461	5455455	462	5456456	463	5457457	464	5458458	465	5459459	466	5460460	467	5461461	468	5462462	469	5463463	470	5464464	471	5465465	471	5466466	472	5467467	473	5468468	474	5469469	475	5470470	476	5471471	477	5472472	478	5473473	479	5474474	480	5475475	482	5476476	482	5477477	483	5478478	484	5479479	485	5480480	486	5481481	487	5482	482	516
483	483	515
484	484	514
485485	491	5486486	492	5487487	493	5488488	494	5489489	494	5490490	495	5491491	497	5492492	497	5493	493	505
494	494	504
495	495	503
496	496	502
497	497	501
498	498	500
499	499	499
500	500	498
501	501	497
502	501	495
503	502	494
504	503	493
505505	509	4506	505	491
507	506	490
508	507	489
509	508	488
510510	514	4511511	515	4512512	516	4513513	517	4514514	518	4515515	519	4516516	520	4517517	521	484
518	522	483
519	523	482
520	524	481
521	524	480
522	525	479
523	526	478
524	527	477
525	528	476
526	529	475
527	530	474
528	531	473
529	532	472
530	533	4531531	534	4532532	535	4533533	536	4534534	537	4535535	537	4536536	538	4537537	539	4538538	540	4539539	541	4540540	542	4541541	543	4542542	544	4543543	545	4544544	546	4545545	547	4546546	548	4547	542	447
548	543	446
549	544	445
550	545	444
551	546	443
552	547	442
553	548	441
554	549	440
555	550	439
556	551	438
557	552	437
558558	559	4559559	560	4560560	561	4561561	562	4562562	563	4563	557	431
564	559	430
565	560	429
566566	568	4567567	569	4568568	570	4569569	571	4570570	572	4571571	572	4572572	573	4573573	574	4574	569	420
575	569	419
576	570	418
577	571	417
578	573	416
579	574	415
580	574	414
581	575	413
582	576	412
583	577	411
584	578	410
585	579	409
586	580	408
587	581	407
588	582	406
589	582	405
590	583	404
591	584	403
592	585	402
593	586	400
594	587	400
595	588	399
596	589	397
597	590	396
598	591	395
599	592	394
600	593	393
601	594	392
602	595	391
603603	602	3604604	603	3605605	604	3606606	605	3607607	606	3608608	607	3609609	608	3610	602	383
611	603	382
612	604	381
613	605	380
614	606	379
615	607	378
616	608	377
617617	616	3618618	617	3619619	618	3620620	619	3621621	620	3622622	621	3623623	622	3624624	625	3625625	628	3626626	630	3627627	633	375
628	635	3629629	662	3630630	663	3631631	666	3632632	667	387
633	668	386
634	670	385
635	670	384
636	671	382
637	672	3638638	673	3639639	674	3640640	675	3641641	676	3642642	677	3643643	678	3644644	679	3645645	680	3646646	681	3647647	681	3648648	682	3649649	683	3650650	684	3651651	685	3652652	686	3653	678	358
654	678	357
655655	689	3656	680	355
657	681	354
658	682	353
659	683	352
660	684	351
661	685	350
662	686	348
663	687	347
664	688	346
665	689	345
666	690	344
667	691	343
668	692	342
669	693	341
670	694	340
671	695	339
672	696	338
673	697	337
674	698	336
675	698	335
676	699	333
677	700	332
678	701	331
679679	711	3680	703	329
681681	713	3682682	714	3683683	715	3684684	716	3685685	717	3686	709	323
687	710	322
688688	719	3689689	720	3690690	721	3691691	722	3692692	723	3693693	724	3694694	725	3695695	726	3696696	727	3697697	728	3698698	729	3699699	730	3700700	731	3701701	732	3702702	733	3703703	734	3704704	735	3705705	736	3706706	737	3707707	737	3708	729	299
709709	739	3710710	740	3711711	741	2712712	742	2713713	742	2714	734	292
715	735	291
716	736	290
717	737	289
718	738	288
719	739	287
720	740	286
721	741	285
722	742	284
723	742	283
724	743	282
725	744	281
726	745	280
727	746	279
728	747	277
729	748	276
730	749	275
731	750	274
732	751	273
733733	761	2734734	762	2735	754	270
736	755	269
737	756	268
738	757	267
739	758	266
740	759	265
741	760	264
742	761	263
743	762	262
744	762	261
745	763	260
746	764	259
747	765	257
748	766	256
749	767	255
750	768	254
751751	777	2752	770	252
753	771	251
754	771	250
755	772	249
756756	782	2757757	783	2758758	784	2759759	785	2760760	785	2761761	786	2762762	787	2763763	788	2764	781	239
765	781	238
766	782	237
767	783	236
768768	793	2769	785	234
770	786	233
771	787	232
772	788	231
773	789	230
774	790	229
775	791	228
776	792	227
777	793	226
778	794	225
779	795	224
780	796	223
781	797	222
782	798	221
783	799	220
784	799	219
785	800	218
786	801	217
787	802	215
788	803	214
789	804	213
790	805	212
791	806	211
792	807	210
793	808	209
794	809	208
795	810	207
796	811	206
797	812	205
798	812	204
799	813	203
800	814	202
801	815	201
802	816	200
803	817	199
804	818	198
805	819	197
806	820	196
807	821	195
808	822	194
809	822	193
810	823	191
811	824	190
812	825	189
813	826	188
814	827	187
815	828	186
816	829	185
817	830	184
818	831	183
819	832	182
820	833	181
821	834	180
822	835	179
823	836	178
824	837	177
825	838	176
826	839	175
827	840	174
828	840	173
829	841	172
830	842	171
831	843	170
832	844	169
833	845	168
834	846	167
835	847	166
836	848	165
837837	857	1838	850	163
839839	858	1840	852	161
841841	860	1842	853	159
843	854	158
844	855	157
845845	864	1846	857	154
847	859	153
848	860	152
849849	868	1850850	869	1851851	870	1852852	871	1853853	872	1854854	873	1855855	874	1856856	874	1857857	875	1858858	876	1859859	877	1860860	878	1861861	879	1862862	880	1863863	881	1864864	882	1865865	883	1866	876	134
867	877	133
868	878	132
869	879	131
870	880	130
871871	888	1872872	889	1873	883	127
874874	891	1875875	892	1876876	893	1877877	894	1878878	895	1879879	896	1880880	897	1881881	898	1882882	899	1883883	900	1884	893	116
885	894	115
886	895	114
887	896	113
888	897	112
889	898	111
890	899	110
891	900	108
892	901	107
893893	909	1894894	910	1895	903	104
896	904	103
897897	913	1898898	914	1899899	914	1900900	915	901	901	916902	910	97
903	903	918904	904	919905	905	920906	913	93
907	914	92
908	915	91
909	916	90
910	910	925911	918	88
912	919	87
913	920	86
914	914	928915	915	929916	922	83
917	923	82
918	918	932919	919	933920	920	934921	921	935922	922	936923	923	936924	930	75
925	925	938926	926	939927	927	940928	928	941929	929	942930	936	69
931	937	68
932	932	945933	933	946934	939	65
935	935	948936	941	63
937	942	62
938	938	951939	939	952940	940	953941	941	954942	942	955943	943	956944	944	957945	945	958946	946	959947	947	960948	948	961949	949	962950	950	963951	951	964952	952	965953	953	966954	954	967955	955	968956	956	969957	957	970958	958	971959	959	972	40
960	973	39
961	974	38
962	975963	963	975964	964	976965	965	977966	966	978967	967	979968	968	980969	969	981970	970	982971	971	983972	972	983973	973	984974	974	985975	975	986976	976	987977	977	988978	978	989979	979	990980	980	991981	981	992982	982	993983	983	993984	984	994985	985	995986	986	996987	987	997988	988	998989	989	999990	990	10991	9991	1992	99992	993	994993994	995	99995	996	49996	997	3
997	998	2
998	999	1
999	1000	0
1
999	1009	0
